season,game_type,week,weekday,gameday,gametime,game_time_12hr,game_id,home_team,away_team,location,spread_line,away_spread_odds,home_spread_odds,home_record_pre_W,home_record_pre_L,home_record_pre_T,home_record_pre_pct,away_record_pre_W,away_record_pre_L,away_record_pre_T,away_record_pre_pct,home_score,away_score,total_line,over_odds,under_odds,away_moneyline,home_moneyline,roof,surface,temp,away_rest,home_rest
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_STL_WAS,WAS,STL,Home,-3.0,-120.0,109.0,0,1,0,0.0,1,0,0,1.0,24.0,10.0,41.0,-101.0,-109.0,-177.0,159.0,outdoors,grass,72.0,7,7
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_TB_NO,NO,TB,Home,9.5,-110.0,100.0,0,1,0,0.0,0,1,0,0.0,19.0,26.0,47.0,-109.0,-101.0,354.0,-410.0,dome,sportturf,,7,7
2015,REG,2,Sunday,2015-09-20,13:00,1:00 PM,2015_02_TEN_CLE,CLE,TEN,Home,1.0,-105.0,-105.0,0,1,0,0.0,1,0,0,1.0,28.0,14.0,41.0,-110.0,100.0,102.0,-113.0,outdoors,grass,64.0,7,7
2015,REG,2,Monday,2015-09-21,20:30,8:30 PM,2015_02_NYJ_IND,IND,NYJ,Home,6.0,-108.0,-102.0,0,1,0,0.0,1,0,0,1.0,7.0,20.0,45.5,-108.0,-102.0,214.0,-240.0,closed,fieldturf,,8,8
2015,REG,3,Thursday,2015-09-24,20:25,8:25 PM,2015_03_WAS_NYG,NYG,WAS,Home,3.0,104.0,-115.0,0,2,0,0.0,1,1,0,0.5,32.0,21.0,45.0,-109.0,-101.0,151.0,-167.0,outdoors,fieldturf,71.0,4,4
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_ATL_DAL,DAL,ATL,Home,1.0,-102.0,-108.0,2,0,0,1.0,2,0,0,1.0,28.0,39.0,43.5,-103.0,-107.0,104.0,-115.0,closed,matrixturf,,7,7
2015,REG,3,Sunday,2015-09-27,16:25,4:25 PM,2015_03_BUF_MIA,MIA,BUF,Home,1.0,-110.0,100.0,1,1,0,0.5,1,1,0,0.5,14.0,41.0,43.5,-103.0,-107.0,-103.0,-107.0,outdoors,grass,87.0,7,7
2015,REG,3,Sunday,2015-09-27,16:25,4:25 PM,2015_03_CHI_SEA,SEA,CHI,Home,16.5,-110.0,100.0,0,2,0,0.0,0,2,0,0.0,26.0,0.0,43.5,-107.0,-103.0,944.0,-1300.0,outdoors,fieldturf,60.0,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_CIN_BAL,BAL,CIN,Home,2.5,104.0,-115.0,0,2,0,0.0,2,0,0,1.0,24.0,28.0,45.5,-105.0,-105.0,125.0,-138.0,outdoors,sportturf,70.0,7,7
2015,REG,3,Sunday,2015-09-27,20:30,8:30 PM,2015_03_DEN_DET,DET,DEN,Home,-3.0,108.0,-119.0,0,2,0,0.0,2,0,0,1.0,12.0,24.0,45.0,-105.0,-105.0,-138.0,125.0,dome,fieldturf,,10,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_IND_TEN,TEN,IND,Home,-3.0,-123.0,111.0,1,1,0,0.5,0,2,0,0.0,33.0,35.0,46.5,-108.0,-102.0,-173.0,156.0,outdoors,grass,74.0,6,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_JAX_NE,NE,JAX,Home,14.5,-108.0,-102.0,2,0,0,1.0,1,1,0,0.5,51.0,17.0,48.5,-108.0,-102.0,944.0,-1300.0,outdoors,fieldturf,68.0,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_NO_CAR,CAR,NO,Home,10.0,-113.0,102.0,2,0,0,1.0,0,2,0,0.0,27.0,22.0,43.0,-107.0,-103.0,346.0,-400.0,outdoors,grass,69.0,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_OAK_CLE,CLE,OAK,Home,3.5,-108.0,-102.0,1,1,0,0.5,1,1,0,0.5,20.0,27.0,43.5,-102.0,-108.0,159.0,-177.0,outdoors,grass,75.0,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_PHI_NYJ,NYJ,PHI,Home,3.0,102.0,-113.0,2,0,0,1.0,0,2,0,0.0,17.0,24.0,47.0,-105.0,-105.0,146.0,-162.0,outdoors,fieldturf,66.0,7,6
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_PIT_STL,STL,PIT,Home,1.5,-102.0,-108.0,1,1,0,0.5,1,1,0,0.5,6.0,12.0,48.5,-108.0,-102.0,111.0,-123.0,dome,astroplay,,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_SD_MIN,MIN,SD,Home,2.5,-110.0,100.0,1,1,0,0.5,1,1,0,0.5,31.0,14.0,45.5,-105.0,-105.0,111.0,-123.0,outdoors,fieldturf,75.0,7,7
2015,REG,3,Sunday,2015-09-27,16:05,4:05 PM,2015_03_SF_ARI,ARI,SF,Home,7.0,-109.0,-101.0,2,0,0,1.0,1,1,0,0.5,47.0,7.0,45.0,-108.0,-102.0,265.0,-301.0,closed,grass,,7,7
2015,REG,3,Sunday,2015-09-27,13:00,1:00 PM,2015_03_TB_HOU,HOU,TB,Home,6.0,-105.0,-105.0,0,2,0,0.0,1,1,0,0.5,19.0,9.0,41.0,-113.0,102.0,225.0,-253.0,closed,fieldturf,,7,7
2015,REG,3,Monday,2015-09-28,20:30,8:30 PM,2015_03_KC_GB,GB,KC,Home,4.5,-101.0,-109.0,2,0,0,1.0,1,1,0,0.5,38.0,28.0,47.0,-102.0,-108.0,201.0,-225.0,outdoors,grass,67.0,11,8
2015,REG,4,Thursday,2015-10-01,20:25,8:25 PM,2015_04_BAL_PIT,PIT,BAL,Home,-3.0,106.0,-117.0,2,1,0,0.6666666666666666,0,3,0,0.0,20.0,23.0,44.0,-110.0,100.0,-145.0,131.0,outdoors,grass,63.0,4,4
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_CAR_TB,TB,CAR,Home,-3.0,100.0,-110.0,1,2,0,0.3333333333333333,3,0,0,1.0,23.0,37.0,40.0,-100.0,-110.0,-145.0,131.0,outdoors,grass,74.0,7,7
2015,REG,4,Sunday,2015-10-04,16:05,4:05 PM,2015_04_CLE_SD,SD,CLE,Home,4.5,100.0,-110.0,1,2,0,0.3333333333333333,1,2,0,0.3333333333333333,30.0,27.0,44.5,-110.0,100.0,205.0,-230.0,outdoors,grass,68.0,7,7
2015,REG,4,Sunday,2015-10-04,20:30,8:30 PM,2015_04_DAL_NO,NO,DAL,Home,3.0,-117.0,106.0,0,3,0,0.0,2,1,0,0.6666666666666666,26.0,20.0,48.0,-103.0,-107.0,129.0,-143.0,dome,sportturf,,7,7
2015,REG,4,Sunday,2015-10-04,16:25,4:25 PM,2015_04_GB_SF,SF,GB,Home,-7.5,102.0,-113.0,1,2,0,0.3333333333333333,3,0,0,1.0,3.0,17.0,48.0,-107.0,-103.0,-320.0,281.0,outdoors,grass,74.0,6,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_HOU_ATL,ATL,HOU,Home,4.0,-108.0,-102.0,3,0,0,1.0,1,2,0,0.3333333333333333,48.0,21.0,47.5,100.0,-110.0,181.0,-202.0,dome,fieldturf,,7,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_JAX_IND,IND,JAX,Home,4.0,100.0,-110.0,1,2,0,0.3333333333333333,1,2,0,0.3333333333333333,16.0,13.0,43.0,-102.0,-108.0,179.0,-199.0,open,fieldturf,,7,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_KC_CIN,CIN,KC,Home,3.5,-115.0,104.0,3,0,0,1.0,1,2,0,0.3333333333333333,36.0,21.0,45.0,-107.0,-103.0,159.0,-177.0,outdoors,fieldturf,68.0,6,7
2015,REG,4,Sunday,2015-10-04,16:25,4:25 PM,2015_04_MIN_DEN,DEN,MIN,Home,7.0,-117.0,106.0,3,0,0,1.0,2,1,0,0.6666666666666666,23.0,20.0,43.5,-108.0,-102.0,253.0,-286.0,outdoors,grass,61.0,7,7
2015,REG,4,Sunday,2015-10-04,13:00,1:00 PM,2015_04_NYG_BUF,BUF,NYG,Home,6.0,-105.0,-105.0,2,1,0,0.6666666666666666,1,2,0,0.3333333333333333,10.0,24.0,46.5,-107.0,-103.0,216.0,-242.0,outdoors,a_turf,60.0,10,7
